Check ID,Check Name,Status,Severity,Region,Account ID,Timestamp,Description
account_maintain_current_contact_details,Account Maintain Current Contact Details,WARNING,MEDIUM,global,,2025-07-16T10:40:14.562200,"AWS Account 588989875114 has contact information, but manual verification is recommended to ensure all details are current."
account_security_contact_information_is_registered,Account Security Contact Information Is Registered,MANUAL,MEDIUM,global,,2025-07-16T10:40:16.831401,AWS Account 588989875114 security contact information requires manual verification. Login to the AWS Console. Choose your account name on the top right of the window -> My Account -> Alternate Contacts -> Security Section.
account_security_questions_are_registered_in_the_aws_account,Account Security Questions Are Registered,MANUAL,MEDIUM,global,,2025-07-16T10:40:18.404005,AWS Account 588989875114 security questions require manual verification. Login to the AWS Console as root. Choose your account name on the top right of the window -> My Account -> Configure Security Challenge Questions.
account_maintain_different_contact_details_to_security_billing_and_operations,Account Maintain Different Contact Details,MANUAL,MEDIUM,global,,2025-07-16T10:40:22.469048,"AWS Account 588989875114 may not have different contact details for all types. Manual verification required. Login to the AWS Console. Choose your account name on the top right of the window -> My Account -> Alternate Contacts -> Configure different contacts for Security, Billing, and Operations."
