Account,Region,Service,Function,ErrorType,ErrorMessage,Timestamp,ScanSessionId
588989875114,ap-northeast-1,cloudwatch,list_metrics,parameter_validation,"Parameter validation failed:
Unknown parameter in input: ""MaxRecords"", must be one of: Namespace, MetricName, Dimensions, NextToken, RecentlyActive, IncludeLinkedAccounts, OwningAccount",2025-07-05T05:12:11.323725+00:00,enterprise_scan_20250705_104204_cbf84b54
588989875114,ap-northeast-2,cloudwatch,list_metrics,parameter_validation,"Parameter validation failed:
Unknown parameter in input: ""MaxRecords"", must be one of: Namespace, MetricName, Dimensions, NextToken, RecentlyActive, IncludeLinkedAccounts, OwningAccount",2025-07-05T05:12:11.327486+00:00,enterprise_scan_20250705_104204_cbf84b54
588989875114,ap-northeast-3,cloudwatch,list_metrics,parameter_validation,"Parameter validation failed:
Unknown parameter in input: ""MaxRecords"", must be one of: Namespace, MetricName, Dimensions, NextToken, RecentlyActive, IncludeLinkedAccounts, OwningAccount",2025-07-05T05:12:11.340467+00:00,enterprise_scan_20250705_104204_cbf84b54
588989875114,ap-south-1,cloudwatch,list_metrics,parameter_validation,"Parameter validation failed:
Unknown parameter in input: ""MaxRecords"", must be one of: Namespace, MetricName, Dimensions, NextToken, RecentlyActive, IncludeLinkedAccounts, OwningAccount",2025-07-05T05:12:11.344700+00:00,enterprise_scan_20250705_104204_cbf84b54
588989875114,ap-southeast-1,cloudwatch,list_metrics,parameter_validation,"Parameter validation failed:
Unknown parameter in input: ""MaxRecords"", must be one of: Namespace, MetricName, Dimensions, NextToken, RecentlyActive, IncludeLinkedAccounts, OwningAccount",2025-07-05T05:12:11.349680+00:00,enterprise_scan_20250705_104204_cbf84b54
588989875114,ap-southeast-2,cloudwatch,list_metrics,parameter_validation,"Parameter validation failed:
Unknown parameter in input: ""MaxRecords"", must be one of: Namespace, MetricName, Dimensions, NextToken, RecentlyActive, IncludeLinkedAccounts, OwningAccount",2025-07-05T05:12:11.355101+00:00,enterprise_scan_20250705_104204_cbf84b54
588989875114,ca-central-1,cloudwatch,list_metrics,parameter_validation,"Parameter validation failed:
Unknown parameter in input: ""MaxRecords"", must be one of: Namespace, MetricName, Dimensions, NextToken, RecentlyActive, IncludeLinkedAccounts, OwningAccount",2025-07-05T05:12:11.358068+00:00,enterprise_scan_20250705_104204_cbf84b54
588989875114,eu-central-1,cloudwatch,list_metrics,parameter_validation,"Parameter validation failed:
Unknown parameter in input: ""MaxRecords"", must be one of: Namespace, MetricName, Dimensions, NextToken, RecentlyActive, IncludeLinkedAccounts, OwningAccount",2025-07-05T05:12:11.363391+00:00,enterprise_scan_20250705_104204_cbf84b54
588989875114,eu-north-1,cloudwatch,list_metrics,parameter_validation,"Parameter validation failed:
Unknown parameter in input: ""MaxRecords"", must be one of: Namespace, MetricName, Dimensions, NextToken, RecentlyActive, IncludeLinkedAccounts, OwningAccount",2025-07-05T05:12:11.367244+00:00,enterprise_scan_20250705_104204_cbf84b54
588989875114,eu-west-1,cloudwatch,list_metrics,parameter_validation,"Parameter validation failed:
Unknown parameter in input: ""MaxRecords"", must be one of: Namespace, MetricName, Dimensions, NextToken, RecentlyActive, IncludeLinkedAccounts, OwningAccount",2025-07-05T05:12:11.371181+00:00,enterprise_scan_20250705_104204_cbf84b54
588989875114,eu-west-2,cloudwatch,list_metrics,parameter_validation,"Parameter validation failed:
Unknown parameter in input: ""MaxRecords"", must be one of: Namespace, MetricName, Dimensions, NextToken, RecentlyActive, IncludeLinkedAccounts, OwningAccount",2025-07-05T05:12:11.374878+00:00,enterprise_scan_20250705_104204_cbf84b54
588989875114,eu-west-3,cloudwatch,list_metrics,parameter_validation,"Parameter validation failed:
Unknown parameter in input: ""MaxRecords"", must be one of: Namespace, MetricName, Dimensions, NextToken, RecentlyActive, IncludeLinkedAccounts, OwningAccount",2025-07-05T05:12:11.378313+00:00,enterprise_scan_20250705_104204_cbf84b54
588989875114,sa-east-1,cloudwatch,list_metrics,parameter_validation,"Parameter validation failed:
Unknown parameter in input: ""MaxRecords"", must be one of: Namespace, MetricName, Dimensions, NextToken, RecentlyActive, IncludeLinkedAccounts, OwningAccount",2025-07-05T05:12:11.382488+00:00,enterprise_scan_20250705_104204_cbf84b54
588989875114,us-east-1,cloudwatch,list_metrics,parameter_validation,"Parameter validation failed:
Unknown parameter in input: ""MaxRecords"", must be one of: Namespace, MetricName, Dimensions, NextToken, RecentlyActive, IncludeLinkedAccounts, OwningAccount",2025-07-05T05:12:11.386875+00:00,enterprise_scan_20250705_104204_cbf84b54
588989875114,us-east-2,cloudwatch,list_metrics,parameter_validation,"Parameter validation failed:
Unknown parameter in input: ""MaxRecords"", must be one of: Namespace, MetricName, Dimensions, NextToken, RecentlyActive, IncludeLinkedAccounts, OwningAccount",2025-07-05T05:12:11.390292+00:00,enterprise_scan_20250705_104204_cbf84b54
