Service,Function
autoscaling,__init__
autoscaling,_describe_scalable_targets
elbv2,__init__
elbv2,_describe_load_balancers
elbv2,_describe_listeners
elbv2,_describe_load_balancer_attributes
elbv2,_describe_rules
elbv2,_describe_tags
securityhub,__init__
securityhub,_describe_hub
securityhub,_list_tags
backup,__init__
backup,_list_backup_vaults
backup,_list_backup_plans
backup,_list_backup_report_plans
backup,_list_backup_selections
backup,_list_tags
backup,_list_recovery_points
cloudformation,__init__
cloudformation,_describe_stacks
cloudformation,_describe_stack
elasticache,__init__
elasticache,_describe_cache_clusters
elasticache,_describe_cache_subnet_groups
elasticache,_describe_replication_groups
elasticache,_list_tags_for_resource
appstream,__init__
appstream,_describe_fleets
appstream,_list_tags_for_resource
rds,__init__
rds,_get_rds_arn_template
rds,_describe_db_instances
rds,_describe_db_parameters
rds,_describe_db_certificate
rds,_describe_db_snapshots
rds,_describe_db_snapshot_attributes
rds,_describe_db_clusters
rds,_describe_db_cluster_parameters
rds,_describe_db_cluster_snapshots
rds,_describe_db_cluster_snapshot_attributes
rds,_describe_db_engine_versions
rds,_describe_db_event_subscriptions
rds,_list_tags
stepfunctions,__init__
stepfunctions,_list_state_machines
stepfunctions,_describe_state_machine
stepfunctions,_list_state_machine_tags
apigateway,__init__
apigateway,_get_rest_apis
apigateway,_get_authorizers
apigateway,_get_rest_api
apigateway,_get_stages
apigateway,_get_resources
efs,__init__
efs,_describe_file_systems
efs,_describe_file_system_policies
efs,_describe_mount_targets
efs,_describe_access_points
sagemaker,__init__
sagemaker,_list_notebook_instances
sagemaker,_list_models
sagemaker,_list_training_jobs
sagemaker,_describe_notebook_instance
sagemaker,_describe_model
sagemaker,_describe_training_job
sagemaker,_list_tags_for_resource
sagemaker,_list_endpoint_configs
sagemaker,_describe_endpoint_config
acm,__init__
acm,_list_certificates
acm,_describe_certificates
acm,_list_tags_for_certificate
athena,__init__
athena,_list_workgroups
athena,_get_workgroups
athena,_list_query_executions
athena,_list_tags_for_resource
route53,__init__
route53,_list_hosted_zones
route53,_list_resource_record_sets
route53,_list_query_logging_configs
route53,_list_tags_for_resource
route53,__init__
route53,_list_domains
route53,_get_domain_detail
route53,_list_tags_for_domain
ec2,__init__
ec2,_get_volume_arn_template
ec2,_describe_instances
ec2,_describe_security_groups
ec2,_describe_network_acls
ec2,_describe_snapshots
ec2,_determine_public_snapshots
ec2,_describe_network_interfaces
ec2,_add_network_interfaces_to_security_groups
ec2,_get_instance_user_data
ec2,_describe_images
ec2,_describe_volumes
ec2,_describe_ec2_addresses
ec2,_get_ebs_encryption_settings
ec2,_get_snapshot_block_public_access_state
ec2,_get_instance_metadata_defaults
ec2,_get_resources_for_regions
ec2,_describe_launch_templates
ec2,_describe_launch_template_versions
ec2,_describe_vpn_endpoints
ec2,_describe_transit_gateways
