Account,Region,Service,Function,ErrorType,ErrorMessage,Timestamp,ScanSessionId
588989875114,eu-west-3,comprehend,list_document_classifiers,unknown,An error occurred (InvalidRequestException) when calling the ListDocumentClassifiers operation: UNSUPPORTED_OPERATION: This operation is not supported in this region,2025-07-05T04:47:54.180853+00:00,enterprise_scan_20250705_101744_eef196df
588989875114,us-west-1,comprehend,list_document_classifiers,unknown,An error occurred (InvalidRequestException) when calling the ListDocumentClassifiers operation: UNSUPPORTED_OPERATION: This operation is not supported in this region,2025-07-05T04:47:55.145655+00:00,enterprise_scan_20250705_101744_eef196df
588989875114,sa-east-1,comprehend,list_document_classifiers,unknown,An error occurred (InvalidRequestException) when calling the ListDocumentClassifiers operation: UNSUPPORTED_OPERATION: This operation is not supported in this region,2025-07-05T04:47:55.159004+00:00,enterprise_scan_20250705_101744_eef196df
588989875114,ap-south-1,connect,list_instances,unknown,An error occurred (InvalidRequestException) when calling the ListInstances operation: None,2025-07-05T04:47:55.907556+00:00,enterprise_scan_20250705_101744_eef196df
588989875114,eu-north-1,connect,list_instances,endpoint_connection_error,"Could not connect to the endpoint URL: ""https://connect.eu-north-1.amazonaws.com/instance""",2025-07-05T04:47:57.640685+00:00,enterprise_scan_20250705_101744_eef196df
588989875114,us-west-1,connect,list_instances,endpoint_connection_error,"Could not connect to the endpoint URL: ""https://connect.us-west-1.amazonaws.com/instance""",2025-07-05T04:47:58.296538+00:00,enterprise_scan_20250705_101744_eef196df
588989875114,ap-northeast-3,comprehend,list_document_classifiers,endpoint_connection_error,"Could not connect to the endpoint URL: ""https://comprehend.ap-northeast-3.amazonaws.com/""",2025-07-05T04:47:58.430287+00:00,enterprise_scan_20250705_101744_eef196df
588989875114,eu-west-1,connect,list_instances,endpoint_connection_error,"Could not connect to the endpoint URL: ""https://connect.eu-west-1.amazonaws.com/instance""",2025-07-05T04:47:58.791332+00:00,enterprise_scan_20250705_101744_eef196df
588989875114,eu-north-1,comprehend,list_document_classifiers,endpoint_connection_error,"Could not connect to the endpoint URL: ""https://comprehend.eu-north-1.amazonaws.com/""",2025-07-05T04:47:59.075432+00:00,enterprise_scan_20250705_101744_eef196df
588989875114,sa-east-1,connect,list_instances,endpoint_connection_error,"Could not connect to the endpoint URL: ""https://connect.sa-east-1.amazonaws.com/instance""",2025-07-05T04:47:59.691882+00:00,enterprise_scan_20250705_101744_eef196df
588989875114,us-east-2,connect,list_instances,endpoint_connection_error,"Could not connect to the endpoint URL: ""https://connect.us-east-2.amazonaws.com/instance""",2025-07-05T04:48:00.124480+00:00,enterprise_scan_20250705_101744_eef196df
588989875114,eu-west-3,connect,list_instances,endpoint_connection_error,"Could not connect to the endpoint URL: ""https://connect.eu-west-3.amazonaws.com/instance""",2025-07-05T04:48:01.059356+00:00,enterprise_scan_20250705_101744_eef196df
588989875114,global,globalaccelerator,list_accelerators,endpoint_connection_error,"Could not connect to the endpoint URL: ""https://globalaccelerator.us-east-1.amazonaws.com/""",2025-07-05T04:48:15.294787+00:00,enterprise_scan_20250705_101744_eef196df
588989875114,sa-east-1,rekognition,list_collections,endpoint_connection_error,"Could not connect to the endpoint URL: ""https://rekognition.sa-east-1.amazonaws.com/""",2025-07-05T04:48:27.255047+00:00,enterprise_scan_20250705_101744_eef196df
588989875114,ap-south-1,securityhub,get_enabled_standards,unknown,An error occurred (InvalidAccessException) when calling the GetEnabledStandards operation: Account 588989875114 is not subscribed to AWS Security Hub,2025-07-05T04:48:28.999129+00:00,enterprise_scan_20250705_101744_eef196df
588989875114,ap-northeast-2,securityhub,get_enabled_standards,unknown,An error occurred (InvalidAccessException) when calling the GetEnabledStandards operation: Account 588989875114 is not subscribed to AWS Security Hub,2025-07-05T04:48:29.255421+00:00,enterprise_scan_20250705_101744_eef196df
588989875114,ap-northeast-1,securityhub,get_enabled_standards,unknown,An error occurred (InvalidAccessException) when calling the GetEnabledStandards operation: Account 588989875114 is not subscribed to AWS Security Hub,2025-07-05T04:48:29.266759+00:00,enterprise_scan_20250705_101744_eef196df
588989875114,eu-west-3,rekognition,list_collections,endpoint_connection_error,"Could not connect to the endpoint URL: ""https://rekognition.eu-west-3.amazonaws.com/""",2025-07-05T04:48:29.477440+00:00,enterprise_scan_20250705_101744_eef196df
588989875114,ap-southeast-2,securityhub,get_enabled_standards,unknown,An error occurred (InvalidAccessException) when calling the GetEnabledStandards operation: Account 588989875114 is not subscribed to AWS Security Hub,2025-07-05T04:48:29.489974+00:00,enterprise_scan_20250705_101744_eef196df
588989875114,ap-northeast-3,securityhub,get_enabled_standards,unknown,An error occurred (InvalidAccessException) when calling the GetEnabledStandards operation: Account 588989875114 is not subscribed to AWS Security Hub,2025-07-05T04:48:29.548233+00:00,enterprise_scan_20250705_101744_eef196df
588989875114,eu-central-1,securityhub,get_enabled_standards,unknown,An error occurred (InvalidAccessException) when calling the GetEnabledStandards operation: Account 588989875114 is not subscribed to AWS Security Hub,2025-07-05T04:48:29.674051+00:00,enterprise_scan_20250705_101744_eef196df
588989875114,eu-north-1,rekognition,list_collections,endpoint_connection_error,"Could not connect to the endpoint URL: ""https://rekognition.eu-north-1.amazonaws.com/""",2025-07-05T04:48:29.800191+00:00,enterprise_scan_20250705_101744_eef196df
588989875114,eu-north-1,securityhub,get_enabled_standards,unknown,An error occurred (InvalidAccessException) when calling the GetEnabledStandards operation: Account 588989875114 is not subscribed to AWS Security Hub,2025-07-05T04:48:29.973280+00:00,enterprise_scan_20250705_101744_eef196df
588989875114,eu-west-1,securityhub,get_enabled_standards,unknown,An error occurred (InvalidAccessException) when calling the GetEnabledStandards operation: Account 588989875114 is not subscribed to AWS Security Hub,2025-07-05T04:48:30.049783+00:00,enterprise_scan_20250705_101744_eef196df
588989875114,eu-west-2,securityhub,get_enabled_standards,unknown,An error occurred (InvalidAccessException) when calling the GetEnabledStandards operation: Account 588989875114 is not subscribed to AWS Security Hub,2025-07-05T04:48:30.103903+00:00,enterprise_scan_20250705_101744_eef196df
588989875114,eu-west-3,securityhub,get_enabled_standards,unknown,An error occurred (InvalidAccessException) when calling the GetEnabledStandards operation: Account 588989875114 is not subscribed to AWS Security Hub,2025-07-05T04:48:30.131600+00:00,enterprise_scan_20250705_101744_eef196df
588989875114,ca-central-1,securityhub,get_enabled_standards,unknown,An error occurred (InvalidAccessException) when calling the GetEnabledStandards operation: Account 588989875114 is not subscribed to AWS Security Hub,2025-07-05T04:48:30.190008+00:00,enterprise_scan_20250705_101744_eef196df
